sofifa_id,short_name,long_name,age,overall,weak_foot,skill_moves,team_position,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
158023,L. Messi,Lionel Andrés Messi Cuccittini,32,94,4,4,RW,87,92,92,96,39,66,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,93,4,5,LW,90,93,82,89,35,78,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11
190871,Neymar Jr,Neymar da Silva Santos Junior,27,92,5,5,CAM,91,85,87,95,32,58,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,9,9,15,15,11
200389,J. Oblak,Jan Oblak,26,91,3,1,GK,,,,,,,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89
183277,E. Hazard,Eden Hazard,28,91,4,4,LW,91,83,86,94,35,66,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8
192985,K. De Bruyne,Kevin De Bruyne,28,91,5,4,RCM,76,86,92,86,61,78,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13
192448,M. ter Stegen,Marc-André ter Stegen,27,90,4,1,GK,,,,,,,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90
203376,V. van Dijk,Virgil van Dijk,27,90,3,2,LCB,77,60,70,71,90,86,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11
177003,L. Modrić,Luka Modrić,33,90,4,4,RCM,74,76,89,89,72,66,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9
209331,M. Salah,Mohamed  Salah Ghaly,27,90,3,4,RW,93,86,81,89,45,74,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,14,14,9,11,14
231747,K. Mbappé,Kylian Mbappé,20,89,4,5,RW,96,84,78,90,39,75,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6
201024,K. Koulibaly,Kalidou Koulibaly,28,89,3,2,LCB,71,28,54,67,89,87,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5
202126,H. Kane,Harry Kane,25,89,4,3,ST,70,91,79,81,47,83,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11
212831,Alisson,Alisson Ramses Becker,26,89,3,1,GK,,,,,,,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89
193080,De Gea,David De Gea Quintana,28,89,3,1,GK,,,,,,,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92
215914,N. Kanté,N'Golo Kanté,28,89,3,2,RCM,78,65,77,81,87,83,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10
138956,G. Chiellini,Giorgio Chiellini,34,89,3,2,LCB,68,46,58,60,90,82,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89,3,3,2,4,3
153079,S. Agüero,Sergio Leonel Agüero del Castillo,31,89,4,4,ST,80,90,77,88,33,74,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14
155862,Sergio Ramos,Sergio Ramos García,33,89,3,3,LCB,72,68,75,73,87,85,66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11
176580,L. Suárez,Luis Alberto Suárez Díaz,32,89,4,3,ST,73,89,80,84,51,84,78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37
188545,R. Lewandowski,Robert Lewandowski,30,89,4,4,ST,77,87,74,85,41,82,62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10
189511,Sergio Busquets,Sergio Busquets i Burgos,30,89,3,3,CDM,42,62,80,80,85,80,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13
194765,A. Griezmann,Antoine Griezmann,28,89,3,4,LW,81,86,84,89,57,72,83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14
211110,P. Dybala,Paulo Bruno Exequiel Dybala,25,88,3,4,RW,83,82,84,90,43,64,82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8
195864,P. Pogba,Paul Pogba,26,88,4,5,LDM,74,81,86,85,66,86,80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3
210257,Ederson,Ederson Santana de Moraes,25,88,3,1,GK,,,,,,,20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88
202652,R. Sterling,Raheem Sterling,24,88,3,4,LW,93,79,78,89,45,57,78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9
190460,C. Eriksen,Christian  Dannemann Eriksen,27,88,5,4,RM,73,81,90,84,53,63,88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6
192119,T. Courtois,Thibaut Courtois,27,88,2,1,GK,,,,,,,14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87
152729,Piqué,Gerard Piqué Bernabéu,32,88,3,2,RCB,56,61,72,68,88,80,57,65,85,83,57,63,58,43,81,82,48,63,57,85,36,62,75,70,87,51,76,89,64,72,69,87,89,88,87,10,11,14,15,8
162835,S. Handanovič,Samir Handanovič,34,88,2,1,GK,,,,,,,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,52,78,41,71,19,25,22,12,41,23,69,25,10,13,88,85,69,89,89
167495,M. Neuer,Manuel Neuer,33,88,4,1,GK,,,,,,,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,87,91,85,87
167948,H. Lloris,Hugo Lloris,32,88,1,1,GK,,,,,,,13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91
168542,David Silva,David Josué Jiménez Silva,33,88,2,4,LCM,65,74,88,89,52,57,84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12
179813,E. Cavani,Edinson Roberto Cavani Gómez,32,88,4,3,ST,75,86,72,79,55,83,70,88,89,78,90,79,77,76,52,81,74,76,74,91,59,88,88,91,79,79,84,54,93,77,85,80,57,48,39,12,5,13,13,10
182493,D. Godín,Diego Godín,33,88,3,2,RCB,60,48,64,61,89,83,52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15
182521,T. Kroos,Toni Kroos,29,88,5,3,LCM,45,80,90,81,70,69,88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10
188350,M. Reus,Marco Reus,30,88,4,4,CAM,85,88,84,87,45,66,82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11
188567,P. Aubameyang,Pierre-Emerick Aubameyang,30,88,4,4,LM,94,85,75,80,37,69,76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9
208722,S. Mané,Sadio Mané,27,88,4,4,LW,94,83,77,89,44,74,74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14
212218,A. Laporte,Aymeric  Laporte,25,87,3,2,LCB,64,50,71,68,88,82,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,87,3,4,RW,81,76,83,92,51,67,85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9
200145,Casemiro,Carlos Henrique Venancio Casimiro,27,87,3,2,CDM,62,72,75,72,85,89,58,64,76,83,61,69,63,74,82,78,58,66,62,86,66,86,87,88,90,81,89,86,69,77,66,84,84,87,86,13,14,16,12,12
200104,H. Son,손흥민 孙兴慜,26,87,5,4,LM,88,86,80,87,42,68,81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10
135507,Fernandinho,Fernando Luiz Rosa,34,87,4,3,CDM,66,74,79,78,84,79,68,69,66,86,74,77,70,72,83,82,68,64,69,89,77,83,78,79,76,78,87,89,70,78,61,81,87,86,80,12,11,5,13,7
164240,Thiago Silva,Thiago Emiliano da Silva,34,87,3,2,LCB,62,54,72,72,87,78,60,40,81,80,61,67,62,61,80,80,60,64,67,82,67,71,90,71,81,65,76,90,59,70,60,86,88,88,85,9,12,5,9,10
165153,K. Benzema,Karim Benzema,31,87,4,4,CF,76,82,80,86,39,77,75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7
172871,J. Vertonghen,Jan Vertonghen,32,87,3,3,LCB,63,63,74,72,87,79,72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7
175943,D. Mertens,Dries Mertens,32,87,4,4,SUB,88,83,80,91,35,53,79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
178603,M. Hummels,Mats  Hummels,30,87,3,3,LCB,51,58,76,72,89,76,64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6
184087,T. Alderweireld,Toby Alderweireld,30,87,3,2,RCB,64,55,72,66,88,79,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14
189332,Jordi Alba,Jordi Alba Ramos,30,87,3,3,LB,90,69,81,83,79,73,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13
189509,Thiago,Thiago Alcântara do Nascimento,28,87,3,5,CDM,69,74,85,90,69,63,78,69,54,90,86,90,85,77,87,91,76,64,91,86,88,76,76,75,59,79,56,83,79,86,75,87,67,67,71,6,11,7,9,13
193041,K. Navas,Keylor Navas,32,87,3,1,SUB,,,,,,,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,56,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
198219,L. Insigne,Lorenzo Insigne,28,87,4,4,LS,89,79,85,91,35,47,86,77,59,87,74,90,87,77,78,93,94,85,94,84,93,79,52,72,40,85,34,26,85,89,68,83,49,24,22,8,4,14,9,10
222492,L. Sané,Leroy Sané,23,86,3,4,SUB,95,81,79,86,38,70,83,81,72,80,85,88,83,82,64,85,93,96,86,81,80,87,64,78,70,78,61,34,84,82,71,80,36,32,35,8,12,9,9,14
207865,Marquinhos,Marcos  Aoás Corrêa,25,86,3,3,RCB,74,41,73,70,86,77,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,76,75,35,80,86,59,68,47,86,86,87,87,6,6,12,10,13
232363,M. Škriniar,Milan Škriniar,24,86,4,2,LCB,69,41,59,66,87,82,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,10,13,12,8,12
199556,M. Verratti,Marco Verratti,26,86,4,4,RCM,65,60,84,90,79,66,75,60,55,90,64,90,74,64,89,89,69,61,91,85,94,56,64,77,52,58,89,84,71,87,64,95,78,82,83,12,12,15,15,10
205600,S. Umtiti,Samuel Umtiti,25,86,3,2,SUB,69,63,69,69,86,82,61,51,79,80,65,64,72,62,73,77,66,72,62,82,66,83,88,71,86,74,82,87,51,58,61,82,87,88,85,15,10,14,12,15
186153,W. Szczęsny,Wojciech  Szczęsny,29,86,3,1,GK,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,85,82,73,86,88
212622,J. Kimmich,Joshua Kimmich,24,86,4,3,RB,72,69,86,84,79,78,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,8,15,7,15,15
197781,Isco,Francisco Román Alarcón Suárez,27,86,3,4,SUB,71,77,83,91,59,60,78,79,55,84,67,92,88,76,80,93,74,68,85,76,90,69,61,62,59,84,58,61,79,87,76,86,58,64,51,10,8,12,15,6
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,86,4,4,CF,77,82,80,87,61,78,72,85,78,86,81,88,80,65,76,88,78,77,80,86,81,81,81,88,74,76,73,58,87,86,72,88,60,64,42,8,11,9,6,10
168651,I. Rakitić,Ivan Rakitić,31,86,4,3,RCM,62,81,86,81,74,70,84,78,59,86,84,80,88,82,90,87,64,61,73,80,62,84,34,79,71,85,67,79,77,85,82,80,76,73,72,14,11,12,5,9
180206,M. Pjanić,Miralem Pjanić,29,86,4,3,CDM,68,68,87,85,75,67,80,56,60,91,72,86,86,92,87,89,69,67,75,84,81,78,60,79,61,82,70,78,68,88,79,86,78,76,70,7,7,13,7,8
183898,A. Di María,Ángel Fabián Di María Hernández,31,86,2,5,LW,84,79,84,87,48,68,86,76,51,83,77,87,88,88,80,86,85,84,94,82,77,83,72,78,60,84,73,42,84,86,73,84,41,55,52,10,7,11,12,11
184344,L. Bonucci,Leonardo Bonucci,32,86,4,2,RCB,58,58,69,70,87,79,44,48,84,77,58,69,56,61,85,75,55,60,61,84,55,74,85,68,82,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
189242,Coutinho,Philippe Coutinho Correia,27,86,4,5,LCM,79,80,84,90,52,64,79,77,48,84,78,90,90,86,82,91,84,75,92,82,93,82,59,76,61,88,59,49,84,86,70,77,55,54,47,12,7,9,14,6
189513,Parejo,Daniel Parejo Muñoz,30,86,4,3,RCM,41,80,88,79,70,69,84,80,61,91,72,79,89,90,88,85,49,35,64,78,72,79,49,76,71,82,58,81,81,86,83,85,69,68,65,5,9,12,14,8
189596,T. Müller,Thomas Müller,29,86,4,3,SUB,72,83,79,78,55,71,79,87,81,81,84,75,81,59,72,82,69,75,74,91,71,78,77,86,67,80,61,58,92,85,60,84,44,57,46,6,7,11,14,14
192387,C. Immobile,Ciro Immobile,29,86,4,3,ST,80,85,63,81,39,76,55,87,81,74,85,83,70,51,49,83,76,83,75,87,63,86,77,79,73,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
193301,A. Lacazette,Alexandre Lacazette,28,86,4,4,ST,82,85,75,86,40,74,68,87,74,81,82,86,74,74,69,86,82,82,85,86,85,86,76,79,73,78,72,42,87,78,84,86,29,42,30,11,6,9,5,6
235243,M. de Ligt,Matthijs de Ligt,19,85,4,2,SUB,67,58,66,68,83,84,52,50,85,76,40,66,48,55,74,74,61,72,56,83,60,82,84,77,88,64,82,82,44,63,40,82,86,82,80,12,11,11,12,10
230621,G. Donnarumma,Gianluigi Donnarumma,20,85,3,1,GK,,,,,,,12,12,12,34,8,28,12,14,24,28,46,54,64,79,38,56,72,34,72,18,30,26,14,50,24,68,20,14,16,90,80,74,80,90
228702,F. de Jong,Frenkie de Jong,22,85,3,4,LCM,79,64,84,87,76,76,75,64,66,90,69,88,84,64,86,89,80,78,84,87,79,68,76,82,74,62,72,81,70,86,45,90,75,75,77,7,13,10,10,9
